title,location,description,date
"Hear from Peers: AI teaching assistant: Build Your Own Custom ChatGPT, No Coding Required!",Zoom,"
  Facilitators: Dr. Candice Chu, Veterinary Medicine and Biomedical Sciences


  Description: This webinar series invites faculty members from diverse disciplines to come together and explore the multifaceted landscape of generative AI. Through a series of engaging discussions and presentations, we will explore themes such as AI literacy and informed decision making, guidelines and policy for integrating AI in the classroom, responsibility and boundaries of AI-generated content, and ethics. Whether you’re an expert in the use of AI or just curious about the possibilities of AI, this workshop series promises to broaden your horizons. The webinar sessions take place on a weekly basis.


  
    
      
        
          Date
        
      
      
        
          Time
        
      
      
        
          Guest Speaker
        
      
      
        
          Title
        
      
      
        
          Link
        
      
    
    
      
        
          Thursday, August 29
        
      
      
        
          1:00-1:45 PM
        
      
      
        
          Dr. Matthew McKinney
        
        
          Director Writing-in-the-Disciplines
        
      
      
        
          Keeping it Old School with New Tools: AI and Student-Centered Writing Pedagogy
        
      
      
        
          Register Here
        
      
    
    
      
        
          Wednesday, September 11
        
      
      
        
          11:00-11:45 PM
        
      
      
        
          Cindy Raisor - Lecturer
        
        
          Bush School of Government and Public Service
        
      
      
        
          AI Literacy: Building a Rubric in the era of Generative AI
        
      
      
        
          Register Here
        
      
    
    
      
        
          Monday,
        
        
          September 16
        
      
      
        
          1:00-1:45 PM
        
      
      
        
          Dr. Dwight Roblyer - Bush School of Government and Public Service
        
        
          
        
      
      
        
          AI is Everywhere, Where are We?
        
      
      
        
          Register Here
        
      
    
    
      
        
          Monday, September 23
        
      
      
        
          1:00-1:45 PM
        
      
      
        
          April Douglass, PhD - Instructional Assistant Professor
        
        
          Department of Civil and Environmental Engineering
        
      
      
        
          Transactional vs. Transformational: AI Use in a graduate level CVEN research writing course
        
      
      
        
          Register Here
        
      
    
    
      
        
          Wednesday, October 2
        
      
      
        
          1:00-1:45 PM
        
      
      
        
          Dr. Candice Chu, Veterinary Medicine and Biomedical Sciences
        
      
      
        
          AI teaching assistant: Build Your Own Custom ChatGPT, No Coding Required!
        
      
      
        
          Register Here
        
      
    
    
      
        
          Monday, October 14
        
      
      
        
          1:00-1:45 PM
        
      
      
        
          Kegan Clark
        
        
          Program Coordinator - University Honors
        
      
      
        
          Using Generative AI to Develop the University Honors FYEX
        
      
      
        
          Register Here
        
      
    
    
      
        
          Monday, October 21
        
      
      
        
          1:00-1:45 PM
        
      
      
        
          Vincent J Vanburen College of Medicine
        
      
      
        
          Creating AI Electives for Medical Students
        
      
      
        
          Register Here
        
      
    
    
      
        
          Monday, October 28
        
      
      
        
          1:00-1:45 PM
        
      
      
        
          Diane E. Chico, PhD - Instructional Professor
        
        
          Department of Medical Education, College of Medicine
        
      
      
        
          Challenges of Piloting Generative AI in a Medical Histology Lab
        
      
      
        
          Register Here
        
      
    
    
      
        
          Monday, November 4
        
      
      
        
          1:00-1:45 PM
        
      
      
        
          Meng Xia - Assistant Professor
        
        
          Computer Science and Engineering
        
      
      
        
          Human-AI Collaboration for Personalized Education
        
      
      
        
          Register Here
        
      
    
    
      
        
          Monday, November 11
        
      
      
        
          1:00-1:45 PM
        
      
      
        
          Ashley Breanna, University Library
        
      
      
        
          AI &amp; Information Search Process
        
      
      
        
          Register Here
        
      
    
    
      
        
          Friday, November 15
        
      
      
        
          1:00-1:45 PM
        
      
      
        
          Gwendolyn Inocencio, Ph.D. Candidate
        
        
          English Department
        
      
      
        
          Navigating Creative Commons Licensing in the Age of AI
        
      
      
        
          Register Here
        
      
    
    
      
        
          Monday, November 18th
        
      
      
        
          1:00-1:45 PM
        
      
      
        
          Benjamin Ennemoser - Assistant Professor
        
        
          Department of Architecture
        
      
      
        
          Generative AI for Architecture Design Studios
        
      
      
        
          Register Here
        
      
    
  


  


  Register Here: https://ers.tamu.edu/register.aspx?ScheduleId=43379
",October 2
ASCC Tutoring,"Evans 105: Whitley Suite, Evans Library",,October 2
Greece Tech Company Management Program: Info Session,Zachry Engineering Education Complex,"
  Learn more about the Greece Tech Company Management Maymester with professor Maria Polyzoi.
",October 2
Go Abroad with Veterans Benefits - Pop Up Advising,"Veterans Heritage Hall, MSC 1500","
  Come to our pop-up advising hours to speak to an Education Abroad alum who used her VA Benefits to help fund her Education Abroad program to learn how you can use yours!
",October 2
Math Learning Center Tutoring,"Evans 204E, Evans Library",,October 2
Lap Pool,,,October 2
Graduate Mentoring Academy presents: Fostering Independence,Zoom,"
  Registration link: https://gradconnect.tamu.edu/portal/gma?tab=home
  
  
  Attending this event and completing the reflection in Canvas is worth 1 PDU towards a GRAD Aggies Professional Development Certificate for graduate &amp; professional students. Be sure to follow the instructions of the facilitator to confirm your attendance. Students who are not on the attendance sheet or who do not attend the majority of the event will not receive GRAD Aggies credit. Visit grad-aggies.tamu.edu for more information
",October 2
Let’s Talk,"Evans 204F (embedded UHS counselor office), Evans Library",,October 2
ICF Open,,,October 2
Help! I Need a Job/Internship,Virtual,"
  tx.ag/HelpOct2
  
  https://tamu.zoom.us/meeting/register/tJUodu-ppz4qGNXvAI2_EZ1WDuVNHIV-Dj_E
",October 2
Help! I Need a Job/Internship,Virtual,"
  tx.ag/HelpOct2
  
  https://tamu.zoom.us/meeting/register/tJUodu-ppz4qGNXvAI2_EZ1WDuVNHIV-Dj_E
",October 2
Help! I Need a Job/Internship,Virtual,"
  tx.ag/HelpOct2
  
  https://tamu.zoom.us/meeting/register/tJUodu-ppz4qGNXvAI2_EZ1WDuVNHIV-Dj_E
",October 2
"Biochemistry and Biophysics Fall Seminar Series: Andrew Ward, Ph.D.",Biochemistry/Biophysics Building,"
  The Department of Biochemistry and Biophysics will host its weekly seminar of the BCBP Fall 2024 Seminar Series on Wednesday, Sept. 25.
",October 2
Biochemistry and Biophysics Fall Seminar Series: T.J. Ha,Biochemistry/Biophysics Building,"
  The Department of Biochemistry and Biophysics will host its weekly seminar of the BCBP Fall 2024 Seminar Series on Wednesday, Oct. 2.
",October 2
University Health Services presents: Overcoming perfectionism,Zoom,"
  This workshop is for students who struggle with perfectionism. The workshop will enhance students’ understanding of the components of perfectionism and how to identify what it means to be a “perfectionist.” This workshop will review two techniques designed to help students move from a “fixed” to a “growth” mindset.
  
  Registration link: https://gradconnect.tamu.edu/register/?id=0837b5a2-3e2e-4c66-9870-4f1254be40e9
  
  Attending this event and completing the reflection in eCampus is worth 1 PDU towards a GRAD Aggies Professional Development Certificate for graduate &amp; professional students. Visit grad-aggies.tamu.edu to join.
",October 2
ELP Practice Group for Instructors Fall 2024 (Session 5): Prominent Words and Discourse Cues,Blocker Building,"Register Here: https://ers.tamu.edu/event/10751&#160;


  Facilitators: Ginessa Payne, Center for Teaching Excellence


  Description: Fifth a series of workshops for international graduate students, faculty, post-docs, and visiting scholars. Convey your intended message to your audience by emphasizing the appropriate word in a phrase. Use cues in your presentation to help your audience follow along.


  Learning Outcomes:


  Distinguish content words (meaningful words) from function words (grammatical words). Pronounce the prominent word within a phrase with the appropriate pitch, volume, length, and vowel quality.
",October 2
Academic Leader Networking Social,University Club,,October 2
MEEN 681 Seminar - Nanostructured Steels and High-Entropy Alloys for Extreme Environments,James J. Cain ’51 Building,"
  Dr. Haiming WenAssociate Professor
  Departments of Material Science and Engineering and of Nuclear Engineering and Radiation Service - Missouri University of Science and TechnologyCo-Hosts: Dr. Guillermo Aguilar and Dr. Enrique J. Lavernia
  
",October 2
ENGL 220 Library Visit (Wierenga),"Annex 405A , Library Annex",,October 2
Coffeehouse,Innovative Learning Classroom Building,,October 2
Penberthy North Hours,,,October 2
Penberthy South Hours,,,October 2
PEAP Hours,,,October 2
Barry Goldwater Scholarship Information,Zoom,"
  Facilitators: Dr. Michael Johnson, Janet Gonzales, and Gisele Cardoso de Lemos


  Description: The Goldwater Scholarship is a prestigious award of up to $7,500/year to juniors and seniors in STEM fields with demonstrated research accomplishments planning to pursue a career in research. Candidates should be current sophomores or juniors. Candidates must be US Citizens or permanent residents intending to go to graduate school
  (students planning to attend Medical or Veterinary school with intention to practice are not eligible). The campus deadline is 11:59PM on Friday, November 1st. The Program deadline is at 5PM Central on Friday, January 31st. There is an internal selection committee, as only four nominees may go forward. Candidates should have a GPR of at least 3.7 and have documented evidence of research productivity (co-authored papers, posters, presentations, awards, etc). Goldwater awardees must be in fields supported by the National Science Foundation.


  Learning Outcomes:


  Learn more about the Goldwater Scholarship.
  
  Register Here: https://ers.tamu.edu/register.aspx?scheduleid=43399&#160;
",October 2
Do Well Be Well with Diabetes,"4224 Cobbs Drive, Waco","
  The Texas A&amp;M AgriLife Extension Service office in McLennan County and McLennan Community College are hosting a Do Well Be Well with Diabetes series in Waco.
",October 2
50 Meter,,,October 2
Texas A&amp;M at Qatar Abroad Informational,Zachry Engineering Education Complex,"
  Join us to learn more about Texas A&amp;M at Qatar’s engineering exchange program.&#160;
",October 2
2024 Surface Mine Reclamation Workshop,Best Western Premier Bryan/College Station,,October 2
Major Grant Writing Workshop,,"
  
    
      Attendees will learn the tips and tricks to submit a successful Aggie Green Fund Major Grant application.
    
  
  
    Contact Information:
  
  
    &#160;
  
  
    Taylor Leeder
    AGF Information Chair
    greenfund-info@tamu.edu
    
    Wendy Webber
    Sustainability Operations Coordinator
    wwebber@tamu.edu
  
",October 2
Omar Smith Tennis Center Hours,,,October 2
Hindu Students Association General Body Meeting,Rudder Rudder 301,,October 2
UGSR 181 Library Visit (Clark),"Annex 405 , Annex 405A , Annex 405B",,October 2
Ice Hockey - Practice,"Spirit Ice Arena, 400 Holleman Dr E, College Station, TX 77840, USA",,October 2
Ice Hockey - Practice,"Spirit Ice Arena, 400 Holleman Dr E, College Station, TX 77840, USA",,October 2
Traveling Aggies Depart: Flavors of Tuscany,Italy,,October 3
Always a Bridesmaid,Unity Theatre,,October 3
Archery @ USA Archery Collegiate 3D Nationals,"Foley, AL, USA",,October 3
Free Tutoring,College Hills Baptist Church 712 Churchill Street College Station Texas 77840,,October 3
Inaugural Engineering Art Competition,Zachry Engineering Education Complex,"
  Engineering Art Competition
  Theme: Aggie Engineering: Forging the Future!
  August 19, 2024 - October 4, 2024
  We are excited to host our inaugural art contest exclusively for engineering students! This is your chance to showcase your creativity alongside your technical skills.
",October 3
Pattern Recognition,Forsyth Galleries,"
  Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.
",October 3
Pattern Recognition,Forsyth Galleries,Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.,October 3
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",October 3
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",October 3
"Shawn Smith, “Dissonant Data”",Langford Architecture Center Building A,,October 3
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",October 3
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",October 3
Texas Family Support Group,Online Virtual Meeting for all of Texas,,October 3
Transit Fall Service,Memorial Student Center,"
  Weekday Service Hours &#160;7:00 AM - Midnight
  Weekend Service Hours &#160;9:00 AM - 6:00 PM
",October 3
State Employee Charitable Campaign,Across campus,"The State Employee Charitable Campaign (SECC) is an opportunity for state employees to donate to charities through payroll deductions.&#160; Between Sept. 1 and Oct 31, employees can designate dollars as a one-time gift or monthly to 24 local charities and more than 1,000 nationally.&#160;&#160;",October 3
Southside Rec Center Hours,,,October 3
Student Rec Center Hours,,,October 3
Lap Pool,,,October 3
Polo Road Hours,,,October 3
Operating Hours,,,October 3
Fundamentals of Electric Transmission System Planning Three-Day Short Course,,"
  This short course is designed to provide a comprehensive coverage of the fundamentals of the planning of high voltage electric power systems.&#160;
  
  Register here!
",October 3
ASCC 003,"Evans 105: Whitley Suite, Evans Library",,October 3
ASCC 001,"Evans 202A, Evans Library",,October 3
Barry Goldwater Scholarship Information,Zoom,"
  Facilitators: Dr. Johnson and Janet Gonzales (please add Gisele Cardoso de Lemos as cohosts on ERS and LiveWhale. For zoom, please make Dr. Johnson, Gisele, Janet, and Jamie all cohosts)


  Description: The Goldwater Scholarship is a prestigious award of up to $7,500/year to juniors and seniors in STEM fields with demonstrated research accomplishments planning to pursue a career in research. Candidates should be current sophomores or juniors. Candidates must be US Citizens or permanent residents intending to go to graduate school
  (students planning to attend Medical or Veterinary school with intention to practice are not eligible). The campus deadline is 11:59PM on Friday, November 1st. The Program deadline is at 5PM Central on Friday, January 31st. There is an internal selection committee, as only four nominees may go forward. Candidates should have a GPR of at least 3.7 and have documented evidence of research productivity (co-authored papers, posters, presentations, awards, etc). Goldwater awardees must be in fields supported by the National Science Foundation.


  Learning Outcomes:


  Learn more about the Goldwater Scholarship.
  
  Register Here: https://ers.tamu.edu/register.aspx?scheduleid=43401&#160;
",October 3
Faculty Conversation Cafe (Virtual),https://tamu.zoom.us/j/93806406421,,October 3
Managers’ Minutes - Balancing Innovation &amp; Tradition: Leveraging AI While Honoring Core Values,Virtual,,October 3
50 Meter,,,October 3
Myers-Briggs Type Indicator Four-Course Series - Course #1,General Services Complex,,October 3
Financial Planning Career Fair,"Annenberg Presidential Conference Center, 1002 George Bush Drive West, College Station","
  The Texas A&amp;M Department of Agricultural Economics Financial Planning Program will be holding its annual Financial Planning Career Fair on Oct. 3 in College Station.
",October 3
Physics Show,,,October 3
Texas A&amp;M Chemistry Road Show,"Colony Oaks Elementary , 601 Sam Houston Drive, Bastrop, TX 78602",,October 3
Create &amp; Carry a Tote,"6200 Tres Lagos Blvd. McAllen, TX 78504","
  Unleash your creativity at Create &amp; Carry on Thursday, October 3rd, from 11:00 AM - 12:45 PM in the Main Lobby. Design and paint your own tote bag to express your unique style!
",October 3
"Zachary Wickens, University of Wisconsin-Madison","Chemistry Building, Room 2104",Organic Division Seminar,October 3
CWD and Whitetail Deer Health and Management,Virtual,,October 3
"Full-time MBA: Financing your FTMBA–Scholarships, Fellowships, and Loans",,,October 3
Co-op Orientation #1,Virtual,"
  tx.ag/coop1
  
  https://tamu.zoom.us/meeting/register/tJYqceqtqjIuHNLCOppMuG6L79f0qlztfD_i
",October 3
Co-op Orientation #1,Virtual,"
  tx.ag/coop1
  
  https://tamu.zoom.us/meeting/register/tJYqceqtqjIuHNLCOppMuG6L79f0qlztfD_i
",October 3
Co-op Orientation #1,Virtual,"
  tx.ag/coop1
  
  https://tamu.zoom.us/meeting/register/tJYqceqtqjIuHNLCOppMuG6L79f0qlztfD_i
",October 3
APhA General Meeting,PHARM 132; REYN 305,,October 3
TAMUQ Virtual Q&amp;A - Students &amp; Parents Welcome!,,"
  Do you have questions about traveling to Qatar?
",October 3
Faculty Development Series,https://tamu.zoom.us/j/95590807910,,October 3
RC Open,,,October 3
Outdoor Pool,,,October 3
Texas A&amp;M University Equestrian vs SMU,"Bryan-College Station, Hildebrand Equine Complex",,October 3
Texas A&amp;M University Equestrian vs SMU,"Bryan-College Station, Hildebrand Equine Complex",,October 3
Healthy Lawns and Healthy Waters workshop: Boerne,"City of Boerne Library, 210 E. Live Oak Street, Boerne, TX","
  Texas A&amp;M AgriLife Extension Service’s Healthy Lawns and Healthy Waters Program will host a residential rainwater harvesting and turf management training for Kendall County.
",October 3
Healthy Lawns and Healthy Waters workshop: Comfort,"City of Comfort Public Library, 701 High St., Comfort","
  The Texas A&amp;M AgriLife Extension Service Healthy Lawns and Healthy Waters Program will host a residential rainwater harvesting and turf management training for Kendall County.
",October 3
ASCC Tutoring,"Evans 105: Whitley Suite, Evans Library",,October 3
Government Visit,"RIC, Various",,October 3
PHYS staff meeting,,,October 3
HET Seminar,Mitchell Institute for Fundamental Physics &amp; Astronomy,Speaker: Mirjam Cvetic (University of Pennsylvania),October 3
Mini Quilt Workshop,,"
  Come stitch with us! Learn how to hand-stitch a quilted potholder you can take home with you in this free workshop.
",October 3
Mini Quilt Workshop,,"
  Come stitch with us! Learn how to hand-stitch a quilted potholder you can take home with you in this free workshop.
",October 3
Math Learning Center Tutoring,"Evans 204E, Evans Library",,October 3
Lap Pool,,,October 3
ASCC 002,"Evans 204B , Evans Library",,October 3
"BMEN 681 Seminar: Single-Cell Bacterial Physiology: Pushers, Pullers and Biased Migration with Molecular Motors",Emerging Technologies Building,"
  Dr. Pushkar Lele, associate professor and William and Ruth Neely Faculty Fellow in the Department of Chemical Engineering at Texas A&amp;M University, will discuss the physiology of helicobacter pylori.
",October 3
Study Skills Workshop,Liberal Arts Social Sciences Building,"
  The ECON Advisors will be holding a Study Skills workshop for students who are struggling with their academics and want to better their studying habits.
",October 3
ICF Open,,,October 3
Center for Teaching Excellence presents: Equipping for Mentoring (Graduate Student Professional Development in Teaching),Zoom,"
  Facilitators: Dr. Clint Patterson, Assistant Director of Mentoring and Graduate Education, Center for Teaching Excellence


  Description: Mentorship is a critical component within graduate education. However, mentorship is seldom taught and often left to chance. This workshop will review the TAMU Mentoring Academy initiative, along with resources such as an Individual Development Plan, Mentoring Compact, and Mentoring Map.


  Learning Outcomes:


  Participants will be able to…


  1. Discuss the importance of aligning expectations for the mentoring relationship


  2. Develop a strategy for guiding professional and career development using a written document


  3. Engage in open dialogue on balancing the competing demands, needs, and interests of mentors and mentees


  4. Recognize available institutional and external mentoring resources, including individual development plans, mentor-mentee compact, and evidence-based mentoring competencies that anchor the TAMU Mentoring Academy
  
  Register Here:&#160;https://ers.tamu.edu/event/10637
  
  Attending this event and completing the reflection in Canvas is worth 1 PDU towards a GRAD Aggies Professional Development Certificate for graduate &amp; professional students. Be sure to follow the instructions of the facilitator to confirm your attendance. Students who are not on the attendance sheet or who do not attend the majority of the event will not receive GRAD Aggies credit. Visit grad-aggies.tamu.edu for more information.
",October 3
Exploring GoinGlobal,,"
  Virtual Event: tx.ag/exploringgoinglobal
",October 3
Managing Research Data: A Guide to Good Practice,Online,,October 3
Exploring GoinGlobal,,"
  Virtual Event: tx.ag/exploringgoinglobal
",October 3
CLGV 001 (Noack),"121A, Galveston",,October 3
Handling Burnout,SSB,"
  Join us for a presentation on recognizing and managing burnout, tailored specifically for college students.
",October 3
Colloquium: Ivy Wong,,,October 3
AESS - Dr. Lesley Weitz,H.J. (Bill) and Reta Haynes Engineering Building (HEB),"
  A lecture from Dr. Weitz as part of the Aerospace Engineering Seminar Series. More details will be added closer to the event.
",October 3
Entomology Departmental Seminar: Baldwyn Torto,Heep Center,"
  The Department of Entomology at Texas A&amp;M University presents the Fall 2024 In Person/Virtual Seminar Series from 4-5 p.m. every Thursday in Room 103 of the Heep Center.
",October 3
POLS 206 &amp; 207 Tutoring (Haney),"108B, Galveston",,October 3
Barbershop Talk,Hullabaloo,"
  Connection and Conversation
",October 3
Penberthy South Hours,,,October 3
Penberthy North Hours,,,October 3
PEAP Hours,,,October 3
Men’s Volleyball - Tryouts Extra Court,"Physical Education Activity Program Building (PEAP), 632 Penberthy Blvd, College Station, TX 77843, USA",,October 3
Men’s Volleyball - Tryouts Extra Court,"Physical Education Activity Program Building (PEAP), 632 Penberthy Blvd, College Station, TX 77843, USA",,October 3
Professional Presence Workshop,,"
  Virtual Event: tx.ag/propresence
",October 3
Professional Presence Workshop,,"
  Virtual Event: tx.ag/propresence
",October 3
50 Meter,,,October 3
Engineering MBA Info Session,Zachry Engineering Education Complex,"
  Join us to learn how the Engineering MBA Program can accelerate your career!&#160;
",October 3
ResLife CSI (Dulal),"Annex 405B, Library Annex",,October 3
Scooby Doo Movie Night,Stage 12 at Brookshire Brothers - 455 George Bush Dr W,,October 3
Artie Mcferrin Chemical Engineering Donor and Scholarship Banquet,Brazos Center,"
  The purpose of this event is to connect donors with their students, and to honor this year’s scholarship recipients.
  
  This event is by invitation only.&#160;
",October 3
Omar Smith Tennis Center Hours,,,October 3
Aerospace Annual Awards Banquet,The Stella Hotel,"
  The purpose of this event is to connect donors with their students, and to honor this year’s scholarship recipients.&#160;
  This event is by invitation only.
",October 3
Aggie Book Club,"Annex 405C , Library Annex",,October 3
"Civil &amp; Environmental Engineering Distinguished Graduate Award, Scholarship and Fellowship Donor Banquet",Hilton Hotel &amp; Conference Center,"
  The purpose of this event is to connect donors with their students, and to honor this year’s scholarship recipients.
  
  This event is by invitation only.
",October 3
Sailing - Weekly Meeting,"Student Recreation Center, 187 Corrington Dr, College Station, TX 77843, USA",,October 3
Texas A&amp;M Speech and Debate Team Meeting,Rudder 404,,October 3
Sailing - Weekly Meeting,"Student Recreation Center, 187 Corrington Dr, College Station, TX 77843, USA",,October 3
UGST 181 Library Visit (Clark),"Annex 405 , Annex 405A , Annex 405B, Library Annex",,October 3
The Importance of Being Earnest,"StageCenter Community Theatre, 218 N Bryan Ave, Bryan, TX 77803",,October 3
Cru Pathways,Rudder 301,,October 3
Traveling Aggies Depart: Albuquerque International Balloon Fiesta,US,,October 4
Always a Bridesmaid,Unity Theatre,,October 4
Archery @ USA Archery Collegiate 3D Nationals,"Foley, AL, USA",,October 4
Bowling @ SWIBC I &amp; II,"Fort Worth, TX, USA",,October 4
CLOSED,,,October 4
CLOSED,,,October 4
Free Tutoring,College Hills Baptist Church 712 Churchill Street College Station Texas 77840,,October 4
Inaugural Engineering Art Competition,Zachry Engineering Education Complex,"
  Engineering Art Competition
  Theme: Aggie Engineering: Forging the Future!
  August 19, 2024 - October 4, 2024
  We are excited to host our inaugural art contest exclusively for engineering students! This is your chance to showcase your creativity alongside your technical skills.
",October 4
Pattern Recognition,Forsyth Galleries,"
  Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.
",October 4
Pattern Recognition,Forsyth Galleries,Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.,October 4
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",October 4
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",October 4
"Shawn Smith, “Dissonant Data”",Langford Architecture Center Building A,,October 4
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",October 4
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",October 4
Texas Family Support Group,Online Virtual Meeting for all of Texas,,October 4
The Importance of Being Earnest,"StageCenter Community Theatre, 218 N Bryan Ave, Bryan, TX 77803",,October 4
Transit Fall Service,Memorial Student Center,"
  Weekday Service Hours &#160;7:00 AM - Midnight
  Weekend Service Hours &#160;9:00 AM - 6:00 PM
",October 4
State Employee Charitable Campaign,Across campus,"The State Employee Charitable Campaign (SECC) is an opportunity for state employees to donate to charities through payroll deductions.&#160; Between Sept. 1 and Oct 31, employees can designate dollars as a one-time gift or monthly to 24 local charities and more than 1,000 nationally.&#160;&#160;",October 4
Lap Pool,,,October 4
Polo Road Hours,,,October 4
Operating Hours,,,October 4
Southside Rec Center Hours,,,October 4
Student Rec Center Hours,,,October 4
Future of Precision Agricultural Sprayer Technology,"Stiles Farm Foundation, 5700 Farm-to-Market Road 1063, Thrall","
  The Texas A&amp;M AgriLife Extension Service office in Williamson County is hosting The Future of Precision Agricultural Sprayer Technology in Thrall.
",October 4
ASCC 004,"Evans 105: Whitley Suite, Evans Library",,October 4
ASCC 001,"Evans 202A, Evans Library",,October 4
15th Air Force Set-up,RIC,,October 4
Faculty Conversation Cafe (In-person),YMCA Building,,October 4
EPSY Executive Committee Meeting,,"
  Event details provided via email to attendees.
",October 4
2024 Texas A&amp;M Department of Horticultural Sciences Field Day,"TAMU Horticulture Teaching, Research, and Extension Center (Hort-TREC)",,October 4
Welcome to Your Major: Make Up Session,Sibsa,"
  Make-up meeting for newly admitted ETAM students into the ETID department. Receive an orientation and overview, learn about available resources, set academic and professional expectations, and have questions answered.&#160;
",October 4
UWC Grad Student Writing Cafe,"Evans 611 - Grad Lounge, Evans Library",,October 4
50 Meter,,,October 4
Army Helicopter Display,Simpson Drill Field,,October 4
RC Open,,,October 4
ASCC 002,"Evans 204B , Evans Library",,October 4
PG&amp;E Corporation Distinguished Lecture Series: Haneul Yi,Wehner Building,"
  The PG&amp;E Corporation Distinguished Lecture Series is the regular seminar series of the Finance Department. We invite leading researchers in finance and related fields around the world. Seminar Coordinators Committee: Fulin Li, Andrew Fieldhouse, and Jing Huang
  
  September 6th Yujie Ruan Texas A&amp;M
  September 20th Toshi Fukui Texas A&amp;M
  September 27th Hyunseob Kim Chicago Fed
  October 4th Haneul Yi Texas A&amp;M
  October 11th Sebastian Hillenbrand Harvard
  November 8th Matt Gustafson Penn State
  November 15th John Leonardy Texas A&amp;M
",October 4
Welcome to Your Major: Make Up Session,Sbisa,"
  Make-up meeting for newly admitted ETAM students into the ETID department. Receive an orientation and overview, learn about available resources, set academic and professional expectations, and have questions answered.&#160;
",October 4
Departmental Colloquium: Paul Parker,Blocker Building,"
  Assistant Professor, Department of Statistics, University of California - Santa Cruz
",October 4
ECE Energy &amp; Power Group Seminar: Real-Time Cyber-Physical Power System Testbed for Studying the Impact of Cyberattacks on Smart Power Distribution Systems,Zachry Engineering Education Complex,"
  Kumpanat Thongmai
  M.S. Student
  Electrical &amp; Computer Engineering
  Texas A&amp;M University
",October 4
Conversation Circle,Blocker Building,"
  Register Here: https://ers.tamu.edu/event/7534
  
  Facilitators: Maria Hernandez, CTE-ELP Student Worker


  Description: Conversation Circle is a supportive space for practicing spoken English through group discussions on cultural topics, including American university culture. Participants improve spontaneous speaking, active listening, and conversational turn-taking. Through communication with speakers from a variety backgrounds, they acclimate to different accents. The sessions promote social connections, intercultural dialogue, and a sense of belonging. The goal is to enhance English fluency, comprehension, and confidence.


  Learning Outcomes: Participants will be able to:


  1. Employ effective spontaneous communication skills in social, academic and professional settings


  2. Elaborate on their viewpoints and opinions in group discussions


  3. Construct clear and well-structured responses during impromptu conversations


  4. Apply appropriate turn-taking and active listening techniques in casual group discussions and more formal academic discussions
",October 4
U3 / U4 Fastrack Informational,Liberal Arts Social Sciences Building,Information session for ECON U/3 and U/4 on the Economics Fastrack program.,October 4
SBA Board Meeting,Rm 106,"SBA Board Meeting
October 4
12-1pm
Room 106",October 4
Critical Theory Collective Inaugural Meeting,Melbern G. Glasscock Building,"
  Critical Theory Collective
",October 4
Critical Theory Collective Inaugural Meeting,Melbern G. Glasscock Building,"
  Critical Theory Collective
",October 4
Outdoor Pool,,,October 4
Welcome to Your Major: Make Up Session,Sbisa,"
  Make-up meeting for newly admitted ETAM students into the ETID department. Receive an orientation and overview, learn about available resources, set academic and professional expectations, and have questions answered.&#160;
",October 4
WOCC Outlining Party,Rm 201,"WOCC Outlining Party
October 4, 2024
1-4pm
Room 201",October 4
Healthy Lawns and Healthy Waters: New Braunfels,"Comal County Extension Office, 325 Resource New Braunfels, TX","
  Texas A&amp;M AgriLife Extension Service’s Healthy Lawns and Healthy Waters Program will host a residential rainwater harvesting and turf management training for Comal County.
",October 4
